submission_date,state,tot_cases,tot_death
2022/01/11,HI,146000,1094
2022/01/11,LA,949941,15102
2022/01/11,CO,1062568,10528
2022/01/11,NV,552259,8561
2022/01/11,AL,1008538,16680
2022/01/11,GA,2050127,31744
2022/01/11,WI,1234281,11527
2022/01/11,MT,206295,2927
2022/01/11,IN,1378562,19908
2022/01/11,ID,331265,4243
2022/01/11,MS,608768,10563
2022/01/11,KS,579619,7114
2022/01/11,NE,371654,3495
2022/01/11,FL,4877945,63079
2022/01/11,MA,1365608,20763
2022/01/11,AR,629825,9358
2022/01/11,MO,1122727,16564
2022/01/11,PA,2316537,37899
2022/01/11,MD,861349,12415
2022/01/11,MI,1923396,30132
2022/01/11,TX,5147506,75397
2022/01/11,NY,2266118,24339
2022/01/11,DE,210437,2373
2022/01/10,TN,1549862,21131
2022/01/10,IL,2460270,31916
2022/01/10,GA,2025262,31694
2022/01/10,TX,5090847,75287
2022/01/10,KY,932552,12425
2022/01/10,NC,1896857,19706
2022/01/10,OR,478203,5779
2022/01/10,MI,1904949,30014
2022/01/10,AK,162626,948
2022/01/10,HI,143089,1094
2022/01/10,NV,546842,8528
2022/01/10,WV,360269,5445
2022/01/10,SC,1094454,14794
2022/01/10,CO,1040510,10466
2022/01/10,VT,73900,463
2022/01/10,NM,378363,6020
2022/01/10,WY,121519,1572
2022/01/10,ND,184613,2034
2022/01/10,MA,1344643,20643
2022/01/10,ME,155154,1623
2022/01/10,NH,223599,2027
2022/01/10,AZ,1491420,24773
2022/01/10,FL,4806199,63059
2022/01/10,LA,937447,15073
2022/01/10,NE,367878,3486
2022/01/10,WI,1219470,11475
2022/01/10,MD,850316,12328
2022/01/10,IN,1366754,19796
2022/01/10,NJ,1866737,29494
2022/01/10,VA,1295431,15716
2022/01/10,DE,208340,2365
2022/01/10,OH,2207270,30072
2022/01/10,RI,281092,3143
2022/01/10,MN,1075028,10950
2022/01/10,MT,204788,2921
2022/01/10,SD,191094,2528
2022/01/10,MO,1109153,16342
2022/01/10,CA,6256630,76550
2022/01/10,MS,603031,10543
2022/01/10,ID,328946,4238
2022/01/10,OK,769662,11650
2022/01/10,CT,605116,9377
2022/01/10,AR,621769,9333
2022/01/10,WA,978680,10028
2022/01/10,PA,2294292,37686
2022/01/10,AL,996441,16680
2022/01/10,UT,706183,3916
2022/01/10,IA,619061,8019
2022/01/10,NY,2245340,24256
2022/01/10,KS,579619,7114
2022/01/09,GA,1978788,31646
2022/01/09,HI,139262,1094
2022/01/09,ME,153376,1603
2022/01/09,TN,1540515,21095
2022/01/09,AL,985844,16680
2022/01/09,UT,682036,3896
2022/01/09,IL,2382437,31660
2022/01/09,AK,159436,948
2022/01/09,NH,214572,2019
2022/01/09,MI,1855658,29955
2022/01/09,OK,747150,11650
2022/01/09,MN,1064065,10906
2022/01/09,FL,4758500,63048
2022/01/09,NY,2222827,24200
2022/01/09,SC,1081518,14782
2022/01/09,TX,5043610,75281
2022/01/09,WY,119857,1572
2022/01/09,IN,1329423,19614
2022/01/09,WI,1186066,11402
2022/01/09,CT,573711,9377
2022/01/09,AZ,1477483,24773
2022/01/09,NJ,1843677,29456
2022/01/09,MO,1101111,16342
2022/01/09,LA,908428,15054
2022/01/09,AR,617322,9323
2022/01/09,WA,931071,10004
2022/01/09,NC,1880580,19705
2022/01/09,CA,5947810,76341
2022/01/09,NV,528892,8510
2022/01/09,OH,2189228,30072
2022/01/09,ID,327451,4237
2022/01/09,CO,989409,10425
2022/01/09,KY,915881,12358
2022/01/09,MS,586547,10527
2022/01/09,NM,369113,5983
2022/01/09,SD,189411,2522
2022/01/09,MT,202863,2917
2022/01/09,ND,182538,2029
2022/01/09,WV,357980,5421
2022/01/09,OR,459700,5761
2022/01/09,VA,1247222,15666
2022/01/09,VT,72913,461
2022/01/09,KS,566062,7096
2022/01/09,PA,2265232,37665
2022/01/09,RI,277700,3138
2022/01/09,MD,840623,12258
2022/01/09,MA,1279928,20568
2022/01/09,IA,608000,8019
2022/01/09,DE,205640,2365
2022/01/09,NE,360321,3468
2022/01/08,NV,528892,8510
2022/01/08,AR,613014,9314
2022/01/08,IL,2382437,31660
2022/01/08,ME,153376,1603
2022/01/08,SD,189411,2522
2022/01/08,TN,1528825,21094
2022/01/08,OK,747150,11650
2022/01/08,VT,70672,460
2022/01/08,LA,908428,15054
2022/01/08,MN,1064065,10906
2022/01/08,UT,682036,3896
2022/01/08,CT,573711,9377
2022/01/08,CO,989409,10425
2022/01/08,NH,214572,2019
2022/01/08,GA,1978788,31646
2022/01/08,MA,1279928,20568
2022/01/08,FL,4709038,63036
2022/01/08,IA,608000,8019
2022/01/08,WV,355872,5421
